"Last Name","Email","Phone","Function","Organization->Name","First Name","Status"
"A","persona@foo.org","0102030405","CEO","Company A","Person","Active"
"B","personb@foo.org","0102030405","Executive Assistant","Company A","Person","Active"
"C","personc@foo.org","0102030405","Technical Manager","Company A","Person","Active"
"D","persond@foo.org","0102030405","Network & Sysadmin","Company A","Person","Active"
"E","persone@foo.org","0102030405","Network & Sysadmin","Company A","Person","Active"
"F","personf@foo.org","0102030405","Work-Study Student","Company A","Person","Active"
"G","persong@foo.org","0102030405","Work-Study Student","Company A","Person","Active"
"H","personh@foo.org","0102030405","CEO","Company B","Person","Active"
"I","personi@foo.org","0102030405","Technical Manager","Company B","Person","Active"
"J","personj@foo.org","0102030405","Sales Manager","Company B","Person","Active"
"K","personk@foo.org","0102030405","Head of Logistics","Company B","Person","Active"
"M","personm@foo.org","0102030405","Manufacturing Manager","Company B","Person","Active"
"N","personn@foo.org","0102030405","Assistant","Company B","Person","Active"
